ID,name_of_politician,verified,severity_of_harassment,type_of_account
932,Chrystia Freeland,No,Questioning Authority,Anonymous
933,Chrystia Freeland,No,Questioning Authority,Anonymous
934,Chrystia Freeland,No,Questioning Authority,Anonymous
935,Chrystia Freeland,No,Name-calling/Gender insults,Personal
936,Chrystia Freeland,No,Questioning Authority,Anonymous
937,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
938,Chrystia Freeland,No,Questioning Authority,Spammers
939,Chrystia Freeland,No,Name-calling/Gender insults,Personal
940,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
941,Chrystia Freeland,No,Name-calling/Gender insults,Personal
942,Chrystia Freeland,No,Questioning Authority,Anonymous
943,Chrystia Freeland,No,Questioning Authority,Anonymous
944,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
945,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
946,Chrystia Freeland,No,Questioning Authority,Spammers
947,Chrystia Freeland,No,Questioning Authority,Anonymous
948,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
949,Chrystia Freeland,No,Questioning Authority,Personal
950,Chrystia Freeland,No,Questioning Authority,Anonymous
951,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
952,Chrystia Freeland,No,Questioning Authority,Anonymous
953,Chrystia Freeland,No,Neutral,Anonymous
954,Chrystia Freeland,Yes,Hate speech,Personal
955,Chrystia Freeland,No,Vicious language,Spammers
956,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
957,Chrystia Freeland,No,Questioning Authority,Anonymous
958,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
959,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
960,Chrystia Freeland,No,Hate speech,Anonymous
961,Chrystia Freeland,No,Questioning Authority,Anonymous
962,Chrystia Freeland,No,Questioning Authority,Anonymous
963,Chrystia Freeland,No,Neutral,Anonymous
964,Chrystia Freeland,No,Questioning Authority,Anonymous
965,Chrystia Freeland,No,Name-calling/Gender insults,Personal
966,Chrystia Freeland,Yes,Neutral,Spammers
967,Chrystia Freeland,No,Questioning Authority,Spammers
968,Chrystia Freeland,No,Hate speech,Spammers
969,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
970,Chrystia Freeland,No,Questioning Authority,Anonymous
971,Chrystia Freeland,No,Questioning Authority,Anonymous
972,Chrystia Freeland,No,Questioning Authority,Spammers
973,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
974,Chrystia Freeland,No,Name-calling/Gender insults,Personal
975,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
976,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
977,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
978,Chrystia Freeland,No,Questioning Authority,Spammers
979,Chrystia Freeland,No,Questioning Authority,Spammers
980,Chrystia Freeland,No,Questioning Authority,Anonymous
981,Chrystia Freeland,No,Name-calling/Gender insults,Personal
982,Chrystia Freeland,No,Questioning Authority,Professional
983,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
984,Chrystia Freeland,No,Hate speech,Anonymous
985,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
986,Chrystia Freeland,No,Neutral,Spammers
987,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
988,Chrystia Freeland,No,Vicious language,Spammers
989,Chrystia Freeland,No,Questioning Authority,Spammers
990,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
991,Chrystia Freeland,No,Questioning Authority,Suspended/deleted
992,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
993,Chrystia Freeland,No,Name-calling/Gender insults,Personal
994,Chrystia Freeland,No,Neutral,Anonymous
995,Chrystia Freeland,Yes,Name-calling/Gender insults,Personal
996,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
997,Chrystia Freeland,No,Questioning Authority,Personal
998,Chrystia Freeland,No,Name-calling/Gender insults,Personal
999,Chrystia Freeland,No,Vicious language,Anonymous
1000,Chrystia Freeland,No,Questioning Authority,Spammers
1001,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1002,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1003,Chrystia Freeland,No,Questioning Authority,Anonymous
1004,Chrystia Freeland,Yes,Name-calling/Gender insults,Spammers
1005,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1006,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1007,Chrystia Freeland,Yes,Questioning Authority,Spammers
1008,Chrystia Freeland,No,Questioning Authority,Anonymous
1009,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1010,Chrystia Freeland,No,Neutral,Anonymous
1011,Chrystia Freeland,No,Neutral,Anonymous
1012,Chrystia Freeland,No,Questioning Authority,Spammers
1013,Chrystia Freeland,No,Questioning Authority,Personal
1014,Chrystia Freeland,No,Neutral,Spammers
1015,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1016,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1017,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1018,Chrystia Freeland,No,Neutral,Anonymous
1019,Chrystia Freeland,No,Neutral,Spammers
1020,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1021,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1022,Chrystia Freeland,No,Vicious language,Anonymous
1023,Chrystia Freeland,No,Neutral,Spammers
1024,Chrystia Freeland,No,Questioning Authority,Anonymous
1025,Chrystia Freeland,No,Questioning Authority,Personal
1026,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1027,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1028,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1029,Chrystia Freeland,No,Neutral,Personal
1030,Chrystia Freeland,No,Neutral,Anonymous
1031,Chrystia Freeland,No,Questioning Authority,Personal
1032,Chrystia Freeland,No,Questioning Authority,Spammers
1033,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1034,Chrystia Freeland,No,Neutral,Personal
1035,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1036,Chrystia Freeland,No,Neutral,Spammers
1037,Chrystia Freeland,No,Neutral,Spammers
1038,Chrystia Freeland,No,Neutral,Spammers
1039,Chrystia Freeland,No,Neutral,Spammers
1040,Chrystia Freeland,No,Neutral,Spammers
1041,Chrystia Freeland,No,Neutral,Spammers
1042,Chrystia Freeland,No,Neutral,Spammers
1043,Chrystia Freeland,No,Neutral,Spammers
1044,Chrystia Freeland,No,Neutral,Spammers
1045,Chrystia Freeland,No,Neutral,Spammers
1046,Chrystia Freeland,No,Neutral,Spammers
1047,Chrystia Freeland,No,Neutral,Spammers
1048,Chrystia Freeland,No,Neutral,Spammers
1049,Chrystia Freeland,No,Neutral,Spammers
1050,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1051,Chrystia Freeland,No,Questioning Authority,Anonymous
1052,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1053,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1054,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1055,Chrystia Freeland,No,Questioning Authority,Anonymous
1056,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1057,Chrystia Freeland,No,Hate speech,Spammers
1058,Chrystia Freeland,No,Questioning Authority,Spammers
1059,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1060,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1061,Chrystia Freeland,No,Questioning Authority,Spammers
1062,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1063,Chrystia Freeland,No,Questioning Authority,Anonymous
1064,Chrystia Freeland,Yes,Neutral,Spammers
1065,Chrystia Freeland,No,Questioning Authority,Personal
1066,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1067,Chrystia Freeland,No,Questioning Authority,Personal
1068,Chrystia Freeland,No,Credible threats,Anonymous
1069,Chrystia Freeland,Yes,Name-calling/Gender insults,Spammers
1070,Chrystia Freeland,No,Questioning Authority,Spammers
1071,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1072,Chrystia Freeland,No,Neutral,Anonymous
1073,Chrystia Freeland,No,Neutral,Personal
1074,Chrystia Freeland,No,Questioning Authority,Spammers
1075,Chrystia Freeland,No,Questioning Authority,Spammers
1076,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1077,Chrystia Freeland,No,Questioning Authority,Spammers
1078,Chrystia Freeland,No,Vicious language,Personal
1079,Chrystia Freeland,No,Positive,Anonymous
1080,Chrystia Freeland,No,Questioning Authority,Spammers
1081,Chrystia Freeland,No,Questioning Authority,Spammers
1082,Chrystia Freeland,No,Questioning Authority,Spammers
1083,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1084,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1085,Chrystia Freeland,No,Questioning Authority,Spammers
1086,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1087,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1088,Chrystia Freeland,No,Neutral,Spammers
1089,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1090,Chrystia Freeland,No,Neutral,Anonymous
1091,Chrystia Freeland,No,Questioning Authority,Anonymous
1092,Chrystia Freeland,No,Questioning Authority,Anonymous
1093,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1094,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1095,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1096,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1097,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1098,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1099,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1100,Chrystia Freeland,No,Questioning Authority,Anonymous
1101,Chrystia Freeland,No,Neutral,Anonymous
1102,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1103,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1104,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1105,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1106,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1107,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1108,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1109,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1110,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1111,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1112,Chrystia Freeland,No,Questioning Authority,Personal
1113,Chrystia Freeland,No,Neutral,Personal
1114,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1115,Chrystia Freeland,No,Neutral,Anonymous
1116,Chrystia Freeland,No,Questioning Authority,Anonymous
1117,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1118,Chrystia Freeland,No,Credible threats,Anonymous
1119,Chrystia Freeland,No,Neutral,Personal
1120,Chrystia Freeland,No,Questioning Authority,Spammers
1121,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1122,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1123,Chrystia Freeland,No,Hate speech,Spammers
1124,Chrystia Freeland,No,Neutral,Spammers
1125,Chrystia Freeland,No,Questioning Authority,Spammers
1126,Chrystia Freeland,No,Questioning Authority,Spammers
1127,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1128,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1129,Chrystia Freeland,No,Questioning Authority,Spammers
1130,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1131,Chrystia Freeland,No,Questioning Authority,Spammers
1132,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1133,Chrystia Freeland,No,Questioning Authority,Spammers
1134,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1135,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1136,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1137,Chrystia Freeland,No,Neutral,Spammers
1138,Chrystia Freeland,No,Questioning Authority,Spammers
1139,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1140,Chrystia Freeland,Yes,Neutral,Spammers
1141,Chrystia Freeland,Yes,Questioning Authority,Spammers
1142,Chrystia Freeland,Yes,Name-calling/Gender insults,Spammers
1143,Chrystia Freeland,Yes,Name-calling/Gender insults,Spammers
1144,Chrystia Freeland,Yes,Name-calling/Gender insults,Anonymous
1145,Chrystia Freeland,Yes,Neutral,Spammers
1146,Chrystia Freeland,Yes,Questioning Authority,Personal
1147,Chrystia Freeland,Yes,Name-calling/Gender insults,Anonymous
1148,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1149,Chrystia Freeland,No,Questioning Authority,Anonymous
1150,Chrystia Freeland,No,Questioning Authority,Spammers
1151,Chrystia Freeland,No,Hate speech,Spammers
1152,Chrystia Freeland,No,Questioning Authority,Personal
1153,Chrystia Freeland,No,Questioning Authority,Personal
1154,Chrystia Freeland,No,Questioning Authority,Spammers
1155,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1156,Chrystia Freeland,No,Questioning Authority,Personal
1157,Chrystia Freeland,No,Questioning Authority,Anonymous
1158,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1159,Chrystia Freeland,Yes,Credible threats,Spammers
1160,Chrystia Freeland,Yes,Name-calling/Gender insults,Suspended/deleted
1161,Chrystia Freeland,Yes,Name-calling/Gender insults,Anonymous
1162,Chrystia Freeland,Yes,Neutral,Spammers
1163,Chrystia Freeland,Yes,Name-calling/Gender insults,Spammers
1164,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1165,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1166,Chrystia Freeland,No,Questioning Authority,Spammers
1167,Chrystia Freeland,Yes,Neutral,Spammers
1168,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1169,Chrystia Freeland,No,Neutral,Personal
1170,Chrystia Freeland,No,Neutral,Anonymous
1171,Chrystia Freeland,No,Neutral,Spammers
1172,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1173,Chrystia Freeland,No,Questioning Authority,Anonymous
1174,Chrystia Freeland,No,Neutral,Anonymous
1175,Chrystia Freeland,No,Questioning Authority,Personal
1176,Chrystia Freeland,No,Positive,Personal
1177,Chrystia Freeland,No,Neutral,Anonymous
1178,Chrystia Freeland,No,Questioning Authority,Anonymous
1179,Chrystia Freeland,No,Positive,Spammers
1180,Chrystia Freeland,No,Positive,Anonymous
1181,Chrystia Freeland,No,Neutral,Personal
1182,Chrystia Freeland,No,Neutral,Professional
1183,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1184,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1185,Chrystia Freeland,No,Neutral,Anonymous
1186,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1187,Chrystia Freeland,No,Questioning Authority,Personal
1188,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1189,Chrystia Freeland,No,Questioning Authority,Personal
1190,Chrystia Freeland,No,Questioning Authority,Personal
1191,Chrystia Freeland,No,Neutral,Anonymous
1192,Chrystia Freeland,No,Questioning Authority,Personal
1193,Chrystia Freeland,No,Questioning Authority,Suspended/deleted
1194,Chrystia Freeland,No,Questioning Authority,Anonymous
1195,Chrystia Freeland,No,Neutral,Bots
1196,Chrystia Freeland,No,Positive,Anonymous
1197,Chrystia Freeland,No,Questioning Authority,Anonymous
1198,Chrystia Freeland,No,Questioning Authority,Personal
1199,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1200,Chrystia Freeland,No,Name-calling/Gender insults,Bots
1201,Chrystia Freeland,No,Questioning Authority,Anonymous
1202,Chrystia Freeland,No,Positive,Personal
1203,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1204,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1205,Chrystia Freeland,No,Questioning Authority,Personal
1206,Chrystia Freeland,No,Neutral,Personal
1207,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1208,Chrystia Freeland,No,Neutral,Personal
1209,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1210,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1211,Chrystia Freeland,No,Questioning Authority,Spammers
1212,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1213,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1214,Chrystia Freeland,No,Neutral,Personal
1215,Chrystia Freeland,No,Questioning Authority,Anonymous
1216,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1217,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1218,Chrystia Freeland,No,Questioning Authority,Anonymous
1219,Chrystia Freeland,No,Neutral,Anonymous
1220,Chrystia Freeland,No,Questioning Authority,Personal
1221,Chrystia Freeland,No,Neutral,Anonymous
1222,Chrystia Freeland,No,Neutral,Anonymous
1223,Chrystia Freeland,No,Questioning Authority,Bots
1224,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1225,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1226,Chrystia Freeland,No,Neutral,Anonymous
1227,Chrystia Freeland,No,Questioning Authority,Anonymous
1228,Chrystia Freeland,No,Questioning Authority,Anonymous
1229,Chrystia Freeland,No,Questioning Authority,Anonymous
1230,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1231,Chrystia Freeland,No,Questioning Authority,Anonymous
1232,Chrystia Freeland,No,Neutral,Personal
1233,Chrystia Freeland,No,Questioning Authority,Anonymous
1234,Chrystia Freeland,No,Vicious language,Anonymous
1235,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1236,Chrystia Freeland,No,Neutral,Spammers
1237,Chrystia Freeland,No,Questioning Authority,Spammers
1238,Chrystia Freeland,No,Name-calling/Gender insults,Suspended/deleted
1239,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1240,Chrystia Freeland,No,Neutral,Personal
1241,Chrystia Freeland,No,Credible threats,Spammers
1242,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1243,Chrystia Freeland,No,Questioning Authority,Anonymous
1244,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1245,Chrystia Freeland,No,Questioning Authority,Spammers
1246,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1247,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1248,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1249,Chrystia Freeland,No,Questioning Authority,Anonymous
1250,Chrystia Freeland,No,Neutral,Anonymous
1251,Chrystia Freeland,No,Neutral,Anonymous
1252,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1253,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1254,Chrystia Freeland,No,Questioning Authority,Anonymous
1255,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1256,Chrystia Freeland,No,Neutral,Spammers
1257,Chrystia Freeland,No,Neutral,Personal
1258,Chrystia Freeland,No,Questioning Authority,Anonymous
1259,Chrystia Freeland,No,Neutral,Anonymous
1260,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1261,Chrystia Freeland,No,Credible threats,Anonymous
1262,Chrystia Freeland,No,Neutral,Anonymous
1263,Chrystia Freeland,No,Neutral,Spammers
1264,Chrystia Freeland,No,Questioning Authority,Personal
1265,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1266,Chrystia Freeland,No,Questioning Authority,Anonymous
1267,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1268,Chrystia Freeland,No,Questioning Authority,Anonymous
1269,Chrystia Freeland,No,Questioning Authority,Anonymous
1270,Chrystia Freeland,No,Questioning Authority,Anonymous
1271,Chrystia Freeland,No,Questioning Authority,Anonymous
1272,Chrystia Freeland,No,Credible threats,Spammers
1273,Chrystia Freeland,No,Hate speech,Spammers
1274,Chrystia Freeland,No,Questioning Authority,Anonymous
1275,Chrystia Freeland,No,Neutral,Spammers
1276,Chrystia Freeland,No,Questioning Authority,Anonymous
1277,Chrystia Freeland,No,Questioning Authority,Anonymous
1278,Chrystia Freeland,No,Questioning Authority,Spammers
1279,Chrystia Freeland,No,Questioning Authority,Anonymous
1280,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1281,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1282,Chrystia Freeland,Yes,Questioning Authority,Spammers
1283,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1284,Chrystia Freeland,No,Questioning Authority,Spammers
1285,Chrystia Freeland,No,Questioning Authority,Spammers
1286,Chrystia Freeland,No,Questioning Authority,Anonymous
1287,Chrystia Freeland,No,Vicious language,Suspended/deleted
1288,Chrystia Freeland,No,Vicious language,Spammers
1289,Chrystia Freeland,Yes,Name-calling/Gender insults,Spammers
1290,Chrystia Freeland,No,Questioning Authority,Anonymous
1291,Chrystia Freeland,No,Neutral,Spammers
1292,Chrystia Freeland,No,Questioning Authority,Anonymous
1293,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1294,Chrystia Freeland,No,Questioning Authority,Spammers
1295,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1296,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1297,Chrystia Freeland,Yes,Questioning Authority,Anonymous
1298,Chrystia Freeland,No,Questioning Authority,Spammers
1299,Chrystia Freeland,No,Neutral,Spammers
1300,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1301,Chrystia Freeland,No,Questioning Authority,Anonymous
1302,Chrystia Freeland,No,Questioning Authority,Anonymous
1303,Chrystia Freeland,No,Questioning Authority,Anonymous
1304,Chrystia Freeland,No,Neutral,Spammers
1305,Chrystia Freeland,No,Neutral,Spammers
1306,Chrystia Freeland,No,Neutral,Spammers
1307,Chrystia Freeland,No,Neutral,Spammers
1308,Chrystia Freeland,No,Neutral,Spammers
1309,Chrystia Freeland,No,Neutral,Spammers
1310,Chrystia Freeland,No,Neutral,Spammers
1311,Chrystia Freeland,No,Neutral,Spammers
1312,Chrystia Freeland,No,Neutral,Spammers
1313,Chrystia Freeland,No,Neutral,Spammers
1314,Chrystia Freeland,No,Questioning Authority,Personal
1315,Chrystia Freeland,No,Questioning Authority,Anonymous
1316,Chrystia Freeland,No,Neutral,Anonymous
1317,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1318,Chrystia Freeland,No,Questioning Authority,Spammers
1319,Chrystia Freeland,No,Questioning Authority,Anonymous
1320,Chrystia Freeland,No,Questioning Authority,Anonymous
1321,Chrystia Freeland,No,Neutral,Anonymous
1322,Chrystia Freeland,No,Hate speech,Spammers
1323,Chrystia Freeland,No,Neutral,Spammers
1324,Chrystia Freeland,No,Questioning Authority,Spammers
1325,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1326,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1327,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1328,Chrystia Freeland,No,Hate speech,Anonymous
1329,Chrystia Freeland,No,Neutral,Anonymous
1330,Chrystia Freeland,No,Questioning Authority,Spammers
1331,Chrystia Freeland,No,Questioning Authority,Spammers
1332,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1333,Chrystia Freeland,No,Questioning Authority,Spammers
1334,Chrystia Freeland,No,Questioning Authority,Anonymous
1335,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1336,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1337,Chrystia Freeland,No,Questioning Authority,Spammers
1338,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1339,Chrystia Freeland,No,Questioning Authority,Spammers
1340,Chrystia Freeland,No,Questioning Authority,Spammers
1341,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1342,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1343,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1344,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1345,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1346,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1347,Chrystia Freeland,No,Neutral,Anonymous
1348,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1349,Chrystia Freeland,No,Questioning Authority,Anonymous
1350,Chrystia Freeland,No,Neutral,Anonymous
1351,Chrystia Freeland,No,Questioning Authority,Personal
1352,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1353,Chrystia Freeland,No,Neutral,Spammers
1354,Chrystia Freeland,No,Questioning Authority,Spammers
1355,Chrystia Freeland,No,Questioning Authority,Personal
1356,Chrystia Freeland,No,Questioning Authority,Anonymous
1357,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1358,Chrystia Freeland,No,Vicious language,Spammers
1359,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1360,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1361,Chrystia Freeland,No,Questioning Authority,Spammers
1362,Chrystia Freeland,No,Neutral,Anonymous
1363,Chrystia Freeland,No,Neutral,Anonymous
1364,Chrystia Freeland,No,Questioning Authority,Personal
1365,Chrystia Freeland,No,Neutral,Spammers
1366,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1367,Chrystia Freeland,No,Questioning Authority,Personal
1368,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1369,Chrystia Freeland,No,Questioning Authority,Personal
1370,Chrystia Freeland,No,Vicious language,Spammers
1371,Chrystia Freeland,No,Neutral,Spammers
1372,Chrystia Freeland,No,Hate speech,Spammers
1373,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1374,Chrystia Freeland,No,Neutral,Anonymous
1375,Chrystia Freeland,No,Questioning Authority,Personal
1376,Chrystia Freeland,Yes,Neutral,Personal
1377,Chrystia Freeland,No,Vicious language,Anonymous
1378,Chrystia Freeland,No,Questioning Authority,Anonymous
1379,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1380,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1381,Chrystia Freeland,No,Questioning Authority,Spammers
1382,Chrystia Freeland,No,Questioning Authority,Spammers
1383,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1384,Chrystia Freeland,Yes,Name-calling/Gender insults,Spammers
1385,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1386,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1387,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1388,Chrystia Freeland,No,Neutral,Spammers
1389,Chrystia Freeland,No,Neutral,Spammers
1390,Chrystia Freeland,No,Questioning Authority,Spammers
1391,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1392,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1393,Chrystia Freeland,Yes,Questioning Authority,Spammers
1394,Chrystia Freeland,No,Neutral,Spammers
1395,Chrystia Freeland,No,Hate speech,Spammers
1396,Chrystia Freeland,No,Questioning Authority,Anonymous
1397,Chrystia Freeland,No,Questioning Authority,Personal
1398,Chrystia Freeland,No,Questioning Authority,Spammers
1399,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1400,Chrystia Freeland,No,Questioning Authority,Personal
1401,Chrystia Freeland,No,Hate speech,Spammers
1402,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
1403,Chrystia Freeland,No,Questioning Authority,Anonymous
1404,Chrystia Freeland,No,Questioning Authority,Anonymous
1405,Chrystia Freeland,No,Questioning Authority,Anonymous
1406,Chrystia Freeland,No,Questioning Authority,Personal
1407,Chrystia Freeland,No,Positive,Personal
1408,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1409,Chrystia Freeland,No,Name-calling/Gender insults,Personal
1410,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1411,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
1412,Chrystia Freeland,No,Credible threats,Anonymous
1413,Chrystia Freeland,No,Neutral,Anonymous
1414,Chrystia Freeland,No,Questioning Authority,Anonymous
