ID,name_of_politician,verified,severity_of_harassment,type_of_account
112,Chrystia Freeland,Yes,Questioning Authority,Suspended/deleted
113,Chrystia Freeland,No,Questioning Authority,Spammers
114,Chrystia Freeland,Yes,Neutral,Personal
115,Chrystia Freeland,Yes,Questioning Authority,Spammers
116,Chrystia Freeland,Yes,Questioning Authority,Personal
117,Chrystia Freeland,Yes,Questioning Authority,Spammers
118,Chrystia Freeland,Yes,Questioning Authority,Spammers
119,Chrystia Freeland,No,Questioning Authority,Personal
120,Chrystia Freeland,No,Questioning Authority,Personal
121,Chrystia Freeland,No,Questioning Authority,Spammers
122,Chrystia Freeland,No,Credible threats,Spammers
123,Chrystia Freeland,Yes,Neutral,Personal
124,Chrystia Freeland,No,Questioning Authority,Spammers
125,Chrystia Freeland,Yes,Questioning Authority,Spammers
126,Chrystia Freeland,No,Neutral,Personal
127,Chrystia Freeland,No,Questioning Authority,Spammers
128,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
129,Chrystia Freeland,No,Neutral,Anonymous
130,Chrystia Freeland,No,Neutral,Spammers
131,Chrystia Freeland,No,Positive,Personal
132,Chrystia Freeland,No,Questioning Authority,Anonymous
133,Chrystia Freeland,No,Questioning Authority,Anonymous
134,Chrystia Freeland,No,Questioning Authority,Personal
135,Chrystia Freeland,Yes,Questioning Authority,Anonymous
136,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
137,Chrystia Freeland,No,Questioning Authority,Anonymous
138,Chrystia Freeland,No,Questioning Authority,Spammers
139,Chrystia Freeland,No,Questioning Authority,Anonymous
140,Chrystia Freeland,No,Positive,Spammers
141,Chrystia Freeland,No,Questioning Authority,Personal
142,Chrystia Freeland,No,Neutral,Spammers
143,Chrystia Freeland,No,Questioning Authority,Spammers
144,Chrystia Freeland,No,Questioning Authority,Spammers
145,Chrystia Freeland,Yes,Name-calling/Gender insults,Spammers
146,Chrystia Freeland,No,Questioning Authority,Anonymous
147,Chrystia Freeland,No,Questioning Authority,Anonymous
148,Chrystia Freeland,No,Neutral,Spammers
149,Chrystia Freeland,No,Questioning Authority,Anonymous
150,Chrystia Freeland,No,Questioning Authority,Anonymous
151,Chrystia Freeland,No,Questioning Authority,Personal
152,Chrystia Freeland,No,Questioning Authority,Personal
153,Chrystia Freeland,Yes,Name-calling/Gender insults,Spammers
154,Chrystia Freeland,No,Questioning Authority,Anonymous
155,Chrystia Freeland,No,Questioning Authority,Spammers
156,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
157,Chrystia Freeland,No,Questioning Authority,Spammers
158,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
159,Chrystia Freeland,No,Questioning Authority,Anonymous
160,Chrystia Freeland,No,Questioning Authority,Anonymous
161,Chrystia Freeland,No,Positive,Anonymous
162,Chrystia Freeland,No,Neutral,Personal
163,Chrystia Freeland,No,Neutral,Anonymous
164,Chrystia Freeland,Yes,Questioning Authority,Anonymous
165,Chrystia Freeland,No,Questioning Authority,Anonymous
166,Chrystia Freeland,No,Questioning Authority,Anonymous
167,Chrystia Freeland,No,Questioning Authority,Anonymous
168,Chrystia Freeland,No,Questioning Authority,Anonymous
169,Chrystia Freeland,Yes,Vicious language,Spammers
170,Chrystia Freeland,No,Neutral,Spammers
171,Chrystia Freeland,No,Neutral,Spammers
172,Chrystia Freeland,No,Questioning Authority,Spammers
173,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
174,Chrystia Freeland,Yes,Name-calling/Gender insults,Spammers
175,Chrystia Freeland,No,Questioning Authority,Anonymous
176,Chrystia Freeland,No,Questioning Authority,Anonymous
177,Chrystia Freeland,No,Questioning Authority,Personal
178,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
179,Chrystia Freeland,Yes,Neutral,Spammers
180,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
181,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
182,Chrystia Freeland,No,Questioning Authority,Spammers
183,Chrystia Freeland,No,Questioning Authority,Anonymous
184,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
185,Chrystia Freeland,No,Questioning Authority,Personal
186,Chrystia Freeland,No,Neutral,Spammers
187,Chrystia Freeland,No,Questioning Authority,Personal
188,Chrystia Freeland,No,Questioning Authority,Spammers
189,Chrystia Freeland,No,Questioning Authority,Anonymous
190,Chrystia Freeland,No,Neutral,Anonymous
191,Chrystia Freeland,No,Questioning Authority,Personal
192,Chrystia Freeland,No,Questioning Authority,Anonymous
193,Chrystia Freeland,No,Neutral,Spammers
194,Chrystia Freeland,No,Questioning Authority,Spammers
195,Chrystia Freeland,No,Questioning Authority,Spammers
196,Chrystia Freeland,No,Vicious language,Anonymous
197,Chrystia Freeland,No,Questioning Authority,Spammers
198,Chrystia Freeland,No,Neutral,Anonymous
199,Chrystia Freeland,No,Questioning Authority,Anonymous
200,Chrystia Freeland,Yes,Name-calling/Gender insults,Spammers
201,Chrystia Freeland,No,Neutral,Spammers
202,Chrystia Freeland,No,Neutral,Spammers
203,Chrystia Freeland,Yes,Questioning Authority,Spammers
204,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
205,Chrystia Freeland,No,Questioning Authority,Anonymous
206,Chrystia Freeland,Yes,Neutral,Spammers
207,Chrystia Freeland,No,Questioning Authority,Anonymous
208,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
209,Chrystia Freeland,No,Questioning Authority,Spammers
210,Chrystia Freeland,Yes,Questioning Authority,Spammers
211,Chrystia Freeland,No,Neutral,Anonymous
212,Chrystia Freeland,No,Questioning Authority,Anonymous
213,Chrystia Freeland,No,Questioning Authority,Spammers
214,Chrystia Freeland,Yes,Questioning Authority,Personal
215,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
216,Chrystia Freeland,No,Name-calling/Gender insults,Personal
217,Chrystia Freeland,No,Questioning Authority,Anonymous
218,Chrystia Freeland,No,Questioning Authority,Anonymous
219,Chrystia Freeland,No,Questioning Authority,Personal
220,Chrystia Freeland,No,Neutral,Personal
221,Chrystia Freeland,No,Questioning Authority,Personal
222,Chrystia Freeland,No,Questioning Authority,Personal
223,Chrystia Freeland,No,Questioning Authority,Personal
224,Chrystia Freeland,No,Questioning Authority,Spammers
225,Chrystia Freeland,No,Positive,Personal
226,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
227,Chrystia Freeland,No,Neutral,Spammers
228,Chrystia Freeland,Yes,Neutral,Anonymous
229,Chrystia Freeland,No,Questioning Authority,Spammers
230,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
231,Chrystia Freeland,No,Questioning Authority,Anonymous
232,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
233,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
234,Chrystia Freeland,Yes,Questioning Authority,Spammers
235,Chrystia Freeland,No,Positive,Spammers
236,Chrystia Freeland,No,Neutral,Spammers
237,Chrystia Freeland,No,Questioning Authority,Spammers
238,Chrystia Freeland,No,Questioning Authority,Anonymous
239,Chrystia Freeland,Yes,Questioning Authority,Personal
240,Chrystia Freeland,No,Name-calling/Gender insults,Personal
241,Chrystia Freeland,No,Questioning Authority,Spammers
242,Chrystia Freeland,No,Questioning Authority,Personal
243,Chrystia Freeland,Yes,Questioning Authority,Spammers
244,Chrystia Freeland,No,Questioning Authority,Personal
245,Chrystia Freeland,Yes,Questioning Authority,Anonymous
246,Chrystia Freeland,No,Neutral,Anonymous
247,Chrystia Freeland,No,Neutral,Anonymous
248,Chrystia Freeland,No,Questioning Authority,Personal
249,Chrystia Freeland,No,Questioning Authority,Spammers
250,Chrystia Freeland,No,Vicious language,Spammers
251,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
252,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
253,Chrystia Freeland,No,Questioning Authority,Anonymous
254,Chrystia Freeland,No,Neutral,Spammers
255,Chrystia Freeland,No,Credible threats,Spammers
256,Chrystia Freeland,No,Questioning Authority,Spammers
257,Chrystia Freeland,No,Questioning Authority,Personal
258,Chrystia Freeland,No,Questioning Authority,Anonymous
259,Chrystia Freeland,No,Questioning Authority,Anonymous
260,Chrystia Freeland,No,Vicious language,Spammers
261,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
262,Chrystia Freeland,No,Questioning Authority,Spammers
263,Chrystia Freeland,No,Questioning Authority,Personal
264,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
265,Chrystia Freeland,No,Questioning Authority,Personal
266,Chrystia Freeland,No,Questioning Authority,Personal
267,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
268,Chrystia Freeland,No,Questioning Authority,Personal
269,Chrystia Freeland,No,Questioning Authority,Anonymous
270,Chrystia Freeland,No,Questioning Authority,Spammers
271,Chrystia Freeland,Yes,Name-calling/Gender insults,Spammers
272,Chrystia Freeland,No,Questioning Authority,Spammers
273,Chrystia Freeland,No,Name-calling/Gender insults,Personal
274,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
275,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
276,Chrystia Freeland,No,Questioning Authority,Spammers
277,Chrystia Freeland,No,Neutral,Spammers
278,Chrystia Freeland,No,Questioning Authority,Anonymous
279,Chrystia Freeland,No,Questioning Authority,Personal
280,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
281,Chrystia Freeland,No,Name-calling/Gender insults,Personal
282,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
283,Chrystia Freeland,No,Credible threats,Anonymous
284,Chrystia Freeland,No,Questioning Authority,Anonymous
285,Chrystia Freeland,No,Vicious language,Personal
286,Chrystia Freeland,No,Questioning Authority,Spammers
287,Chrystia Freeland,No,Questioning Authority,Anonymous
288,Chrystia Freeland,Yes,Name-calling/Gender insults,Spammers
289,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
290,Chrystia Freeland,No,Questioning Authority,Personal
291,Chrystia Freeland,No,Questioning Authority,Anonymous
292,Chrystia Freeland,No,Questioning Authority,Anonymous
293,Chrystia Freeland,No,Questioning Authority,Anonymous
294,Chrystia Freeland,No,Name-calling/Gender insults,Personal
295,Chrystia Freeland,No,Questioning Authority,Personal
296,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
297,Chrystia Freeland,No,Questioning Authority,Spammers
298,Chrystia Freeland,No,Questioning Authority,Anonymous
299,Chrystia Freeland,No,Questioning Authority,Spammers
300,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
301,Chrystia Freeland,No,Questioning Authority,Spammers
302,Chrystia Freeland,No,Credible threats,Anonymous
303,Chrystia Freeland,Yes,Name-calling/Gender insults,Spammers
304,Chrystia Freeland,No,Questioning Authority,Personal
305,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
306,Chrystia Freeland,No,Questioning Authority,Anonymous
307,Chrystia Freeland,No,Neutral,Personal
308,Chrystia Freeland,No,Questioning Authority,Spammers
309,Chrystia Freeland,Yes,Questioning Authority,Spammers
310,Chrystia Freeland,Yes,Questioning Authority,Spammers
311,Chrystia Freeland,No,Neutral,Personal
312,Chrystia Freeland,No,Questioning Authority,Spammers
313,Chrystia Freeland,Yes,Questioning Authority,Personal
314,Chrystia Freeland,No,Questioning Authority,Anonymous
315,Chrystia Freeland,No,Questioning Authority,Spammers
316,Chrystia Freeland,Yes,Questioning Authority,Personal
317,Chrystia Freeland,No,Name-calling/Gender insults,Personal
318,Chrystia Freeland,Yes,Neutral,Spammers
319,Chrystia Freeland,No,Vicious language,Personal
320,Chrystia Freeland,No,Questioning Authority,Anonymous
321,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
322,Chrystia Freeland,No,Questioning Authority,Anonymous
323,Chrystia Freeland,No,Neutral,Anonymous
324,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
325,Chrystia Freeland,Yes,Name-calling/Gender insults,Anonymous
326,Chrystia Freeland,Yes,Questioning Authority,Personal
327,Chrystia Freeland,No,Questioning Authority,Spammers
328,Chrystia Freeland,No,Questioning Authority,Spammers
329,Chrystia Freeland,No,Vicious language,Anonymous
330,Chrystia Freeland,No,Neutral,Personal
331,Chrystia Freeland,Yes,Questioning Authority,Anonymous
332,Chrystia Freeland,No,Questioning Authority,Spammers
333,Chrystia Freeland,No,Questioning Authority,Anonymous
334,Chrystia Freeland,No,Questioning Authority,Anonymous
335,Chrystia Freeland,No,Questioning Authority,Anonymous
336,Chrystia Freeland,No,Neutral,Personal
337,Chrystia Freeland,No,Name-calling/Gender insults,Personal
338,Chrystia Freeland,No,Neutral,Anonymous
339,Chrystia Freeland,Yes,Questioning Authority,Personal
340,Chrystia Freeland,Yes,Name-calling/Gender insults,Spammers
341,Chrystia Freeland,Yes,Questioning Authority,Spammers
342,Chrystia Freeland,No,Questioning Authority,Anonymous
343,Chrystia Freeland,No,Questioning Authority,Anonymous
344,Chrystia Freeland,No,Questioning Authority,Anonymous
345,Chrystia Freeland,No,Questioning Authority,Anonymous
346,Chrystia Freeland,Yes,Neutral,Suspended/deleted
347,Chrystia Freeland,No,Questioning Authority,Anonymous
348,Chrystia Freeland,No,Questioning Authority,Anonymous
349,Chrystia Freeland,No,Name-calling/Gender insults,Personal
350,Chrystia Freeland,No,Neutral,Anonymous
351,Chrystia Freeland,Yes,Questioning Authority,Personal
352,Chrystia Freeland,Yes,Questioning Authority,Spammers
353,Chrystia Freeland,No,Questioning Authority,Personal
354,Chrystia Freeland,No,Questioning Authority,Personal
355,Chrystia Freeland,No,Questioning Authority,Personal
356,Chrystia Freeland,No,Questioning Authority,Anonymous
357,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
358,Chrystia Freeland,No,Name-calling/Gender insults,Personal
359,Chrystia Freeland,No,Name-calling/Gender insults,Personal
360,Chrystia Freeland,No,Questioning Authority,Anonymous
361,Chrystia Freeland,No,Questioning Authority,Anonymous
362,Chrystia Freeland,No,Questioning Authority,Personal
363,Chrystia Freeland,No,Questioning Authority,Anonymous
364,Chrystia Freeland,No,Neutral,Anonymous
365,Chrystia Freeland,No,Questioning Authority,Personal
366,Chrystia Freeland,No,Questioning Authority,Anonymous
367,Chrystia Freeland,Yes,Questioning Authority,Spammers
368,Chrystia Freeland,Yes,Questioning Authority,Anonymous
369,Chrystia Freeland,No,Questioning Authority,Anonymous
370,Chrystia Freeland,No,Neutral,Personal
371,Chrystia Freeland,No,Questioning Authority,Spammers
372,Chrystia Freeland,Yes,Name-calling/Gender insults,Spammers
373,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
374,Chrystia Freeland,No,Questioning Authority,Spammers
375,Chrystia Freeland,No,Questioning Authority,Spammers
376,Chrystia Freeland,No,Questioning Authority,Spammers
377,Chrystia Freeland,No,Questioning Authority,Anonymous
378,Chrystia Freeland,No,Questioning Authority,Anonymous
379,Chrystia Freeland,No,Questioning Authority,Anonymous
380,Chrystia Freeland,Yes,Name-calling/Gender insults,Spammers
381,Chrystia Freeland,No,Questioning Authority,Anonymous
382,Chrystia Freeland,No,Positive,Spammers
383,Chrystia Freeland,No,Questioning Authority,Anonymous
384,Chrystia Freeland,No,Questioning Authority,Anonymous
385,Chrystia Freeland,No,Neutral,Spammers
386,Chrystia Freeland,No,Questioning Authority,Spammers
387,Chrystia Freeland,No,Questioning Authority,Spammers
388,Chrystia Freeland,No,Questioning Authority,Spammers
389,Chrystia Freeland,No,Questioning Authority,Anonymous
390,Chrystia Freeland,No,Questioning Authority,Spammers
391,Chrystia Freeland,No,Questioning Authority,Spammers
392,Chrystia Freeland,No,Neutral,Spammers
393,Chrystia Freeland,No,Questioning Authority,Spammers
394,Chrystia Freeland,No,Questioning Authority,Spammers
395,Chrystia Freeland,No,Questioning Authority,Spammers
396,Chrystia Freeland,No,Questioning Authority,Spammers
397,Chrystia Freeland,No,Questioning Authority,Anonymous
